DlangUI log file
2017-06-29 01:05:29.721 I  Log level changed to Trace
2017-06-29 01:05:29.722 I  Logger is initialized
2017-06-29 01:05:29.722 D  myWinMain()
2017-06-29 01:05:29.722 I  Current executable: C:\cygwin64\home\hbsdbe\d\reversi\
2017-06-29 01:05:29.722 I  Command line: 
2017-06-29 01:05:29.722 I  Command line params: []
2017-06-29 01:05:29.722 V  Creating platform
2017-06-29 01:05:29.722 V  Registering window class
2017-06-29 01:05:29.722 V  Initializing font manager
2017-06-29 01:05:29.722 I  Creating Win32FontManager
2017-06-29 01:05:29.722 I  Win32FontManager.initialize()
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Arial)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Arial Black)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Calibri)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Calibri Light)
2017-06-29 01:05:29.723 D  registerFont(Serif,Cambria)
2017-06-29 01:05:29.723 D  registerFont(Serif,Cambria Math)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Candara)
2017-06-29 01:05:29.723 D  registerFont(Cursive,Comic Sans MS)
2017-06-29 01:05:29.723 D  registerFont(MonoSpace,Consolas)
2017-06-29 01:05:29.723 D  registerFont(Serif,Constantia)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Corbel)
2017-06-29 01:05:29.723 D  registerFont(MonoSpace,Courier New)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Ebrima)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Franklin Gothic Medium)
2017-06-29 01:05:29.723 D  registerFont(Fantasy,Gabriola)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Gadugi)
2017-06-29 01:05:29.723 D  registerFont(Serif,Georgia)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Impact)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Javanese Text)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Leelawadee UI)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Leelawadee UI Semilight)
2017-06-29 01:05:29.723 D  registerFont(MonoSpace,Lucida Console)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Lucida Sans Unicode)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Malgun Gothic)
2017-06-29 01:05:29.723 D  registerFont(Serif,Malgun Gothic Semilight)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Microsoft Himalaya)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Microsoft JhengHei)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Microsoft JhengHei UI)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Microsoft JhengHei Light)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Microsoft JhengHei UI Light)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Microsoft New Tai Lue)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Microsoft PhagsPa)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Microsoft Sans Serif)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Microsoft Tai Le)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Microsoft YaHei)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Microsoft YaHei UI)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Microsoft YaHei Light)
2017-06-29 01:05:29.723 D  registerFont(SansSerif,Microsoft YaHei UI Light)
2017-06-29 01:05:29.723 D  registerFont(Cursive,Microsoft Yi Baiti)
2017-06-29 01:05:29.723 D  registerFont(Serif,MingLiU-ExtB)
2017-06-29 01:05:29.723 D  registerFont(Serif,PMingLiU-ExtB)
2017-06-29 01:05:29.723 D  registerFont(Serif,MingLiU_HKSCS-ExtB)
2017-06-29 01:05:29.723 D  registerFont(Cursive,Mongolian Baiti)
